$GPGGA,020038.00,3037.6638,N,10401.3942,E,1,10,1.22,113.714,M,-8.00,M,,*78
$GPGGA,030038.00,3037.6787,N,10401.4843,E,1,10,1.22,113.714,M,-8.00,M,,*78
$GPGGA,040038.00,3037.6742,N,10401.5983,E,1,10,1.22,113.714,M,-8.00,M,,*78
$GPGGA,050038.00,3037.7501,N,10401.5405,E,1,10,1.22,113.714,M,-8.00,M,,*78
$GPGGA,060038.00,3037.8978,N,10401.5331,E,1,10,1.22,113.714,M,-8.00,M,,*78
$GPGGA,070038.00,3037.9324,N,10401.4881,E,1,10,1.22,113.714,M,-8.00,M,,*78
$GPGGA,080038.00,3517.0582,N,4500.0001,E,1,10,1.22,113.714,M,-8.00,M,,*78
$GPGGA,090038.00,3038.0875,N,10401.6958,E,1,10,1.22,113.714,M,-8.00,M,,*78
$GPGGA,100038.00,3038.1904,N,10401.6352,E,1,10,1.22,113.714,M,-8.00,M,,*78
$GPGGA,110038.00,3038.0412,N,10401.8142,E,1,10,1.22,113.714,M,-8.00,M,,*78
